
> social-dashboard-frontend@0.1.0 dev
> vite --host

Port 5173 is in use, trying another one...

  VITE v5.4.21  ready in 167 ms

  ➜  Local:   http://localhost:5174/
  ➜  Network: http://49.12.225.84:5174/
  ➜  Network: http://100.101.67.20:51712:40:21 PM [vite] hmr update /src/App.jsx
12:40:29 PM [vite] hmr update /src/App.jsx
12:41:30 PM [vite] hmr update /src/App.jsx
12:42:50 PM [vite] hmr update /src/App.jsx
12:42:59 PM [vite] hmr update /src/App.jsx
12:46:06 PM [vite] hmr update /src/App.jsx
12:46:41 PM [vite] hmr update /src/App.jsx
12:49:11 PM [vite] hmr update /src/App.jsx
12:52:15 PM [vite] hmr update /src/App.jsx
1:26:14 PM [vite] hmr update /src/App.jsx
1:27:16 PM [vite] hmr update /src/App.jsx
1:27:30 PM [vite] hmr update /src/App.jsx
1:29:11 PM [vite] hmr update /src/styles.css
11:01:55 AM [vite] hmr update /src/App.jsx
11:02:26 AM [vite] hmr update /src/App.jsx
11:02:35 AM [vite] hmr update /src/App.jsx
11:03:15 AM [vite] hmr update /src/App.jsx
11:03:24 AM [vite] hmr update /src/App.jsx
11:09:48 AM [vite] hmr update /src/App.jsx
11:09:54 AM [vite] hmr update /src/App.jsx
11:10:06 AM [vite] hmr update /src/App.jsx
11:11:16 AM [vite] hmr update /src/App.jsx
11:17:08 AM [vite] hmr update /src/App.jsx
11:18:48 AM [vite] hmr update /src/App.jsx
11:19:02 AM [vite] hmr update /src/App.jsx
11:19:16 AM [vite] hmr update /src/styles.css
11:19:46 AM [vite] hmr update /src/App.jsx
11:19:46 AM [vite] hmr update /src/App.jsx
11:19:54 AM [vite] hmr update /src/App.jsx
11:20:02 AM [vite] hmr update /src/App.jsx
11:20:11 AM [vite] hmr update /src/App.jsx
11:26:14 AM [vite] hmr update /src/App.jsx
11:26:37 AM [vite] hmr update /src/App.jsx
11:26:51 AM [vite] hmr update /src/App.jsx
11:30:39 AM [vite] hmr update /src/styles.css
11:31:19 AM [vite] hmr update /src/App.jsx
11:31:41 AM [vite] hmr update /src/App.jsx
11:31:57 AM [vite] hmr update /src/App.jsx
11:32:22 AM [vite] hmr update /src/App.jsx
11:32:31 AM [vite] hmr update /src/App.jsx
11:32:59 AM [vite] hmr update /src/App.jsx
11:35:17 AM [vite] hmr update /src/styles.css
11:37:33 AM [vite] hmr update /src/App.jsx
11:39:02 AM [vite] hmr update /src/App.jsx
11:45:38 AM [vite] hmr update /src/App.jsx
11:52:27 AM [vite] hmr update /src/App.jsx
11:52:59 AM [vite] hmr update /src/App.jsx
11:53:24 AM [vite] hmr update /src/App.jsx
11:53:37 AM [vite] hmr update /src/App.jsx
11:54:14 AM [vite] hmr update /src/App.jsx
11:54:52 AM [vite] hmr update /src/App.jsx
11:55:01 AM [vite] hmr update /src/App.jsx
11:55:32 AM [vite] hmr update /src/App.jsx
11:59:03 AM [vite] hmr update /src/App.jsx
11:59:26 AM [vite] hmr update /src/App.jsx
11:59:52 AM [vite] hmr update /src/App.jsx
12:00:08 PM [vite] hmr update /src/App.jsx
12:00:33 PM [vite] hmr update /src/App.jsx
12:01:03 PM [vite] hmr update /src/App.jsx
12:01:20 PM [vite] hmr update /src/styles.css
12:04:53 PM [vite] hmr update /src/styles.css
12:05:56 PM [vite] hmr update /src/App.jsx
12:06:18 PM [vite] hmr update /src/App.jsx
12:06:40 PM [vite] hmr update /src/App.jsx
12:07:03 PM [vite] hmr update /src/App.jsx
12:07:56 PM [vite] hmr update /src/styles.css
12:09:10 PM [vite] hmr update /src/App.jsx
12:09:16 PM [vite] hmr update /src/App.jsx
12:09:43 PM [vite] hmr update /src/App.jsx
12:10:01 PM [vite] hmr update /src/App.jsx
12:10:11 PM [vite] hmr update /src/App.jsx
12:10:24 PM [vite] hmr update /src/App.jsx
12:10:40 PM [vite] hmr update /src/App.jsx
12:12:48 PM [vite] hmr update /src/styles.css
12:14:37 PM [vite] hmr update /src/styles.css
12:15:35 PM [vite] hmr update /src/App.jsx
12:16:00 PM [vite] hmr update /src/App.jsx
12:16:18 PM [vite] hmr update /src/styles.css
12:18:12 PM [vite] hmr update /src/styles.css
12:19:55 PM [vite] hmr update /src/App.jsx
12:20:10 PM [vite] hmr update /src/App.jsx
12:22:42 PM [vite] hmr update /src/styles.css
12:23:12 PM [vite] hmr update /src/styles.css
12:23:45 PM [vite] hmr update /src/App.jsx
12:26:49 PM [vite] hmr update /src/styles.css
12:27:06 PM [vite] hmr update /src/styles.css
12:27:35 PM [vite] hmr update /src/styles.css
12:31:48 PM [vite] hmr update /src/App.jsx
12:32:06 PM [vite] hmr update /src/App.jsx
12:41:09 PM [vite] hmr update /src/App.jsx
12:41:24 PM [vite] hmr update /src/App.jsx
12:41:53 PM [vite] hmr update /src/App.jsx
